instance,dimension,run,seed,beta,gamma,best_known,best_length,gap_percent,final_effective_count,final_edge_diversity,runtime_seconds
ch150,150,4,20270808,12.0,0.0,6528,6608,1.2254901960784315,15.999999999743997,0.0,0.7609118250002211
ch150,150,4,20270808,12.0,1.0,6528,6608,1.2254901960784315,15.999999999743997,0.0,0.9875710310002432
ch150,150,4,20270808,12.0,4.0,6528,6608,1.2254901960784315,15.999999999743997,0.0,0.7478605789997346
ch150,150,4,20270808,12.0,8.0,6528,6608,1.2254901960784315,15.999999999743997,0.0,0.7550584280002113
ch150,150,5,20270809,0.0,0.0,6528,6625,1.485906862745098,15.999999999743997,0.013000000000000012,0.8957681530000627
ch150,150,5,20270809,0.0,1.0,6528,6641,1.7310049019607843,15.999999999743997,0.0,0.9430834539998614
ch150,150,5,20270809,0.0,4.0,6528,6669,2.1599264705882355,15.999999999743997,0.02916666666666669,0.7003393089999008
ch150,150,5,20270809,0.0,8.0,6528,6658,1.991421568627451,15.999999999743997,0.0,0.7467953069999567
ch150,150,5,20270809,2.0,0.0,6528,6618,1.3786764705882353,15.999999999743997,0.0,0.7334691450000719
ch150,150,5,20270809,2.0,1.0,6528,6608,1.2254901960784315,15.999999999743997,0.0,0.7119478119998348
ch150,150,5,20270809,2.0,4.0,6528,6629,1.5471813725490196,15.999999999743997,0.0,0.6951222229999985
ch150,150,5,20270809,2.0,8.0,6528,6621,1.4246323529411764,15.408440590434216,0.0016666666666666635,0.7083172799998465
ch150,150,5,20270809,6.0,0.0,6528,6691,2.496936274509804,15.999999999743997,0.0,0.7101145870001346
ch150,150,5,20270809,6.0,1.0,6528,6612,1.286764705882353,15.999999999743997,0.0,0.7347840630000064
ch150,150,5,20270809,6.0,4.0,6528,6620,1.4093137254901962,15.999999999743997,0.0,0.7554926809998506
ch150,150,5,20270809,6.0,8.0,6528,6620,1.4093137254901962,15.999999999743997,0.0,0.8286078860000998
ch150,150,5,20270809,12.0,0.0,6528,6629,1.5471813725490196,15.999999999743997,0.0,0.8524784309997813
ch150,150,5,20270809,12.0,1.0,6528,6629,1.5471813725490196,15.999999999743997,0.0,0.7331867100001546
ch150,150,5,20270809,12.0,4.0,6528,6629,1.5471813725490196,15.999999999743997,0.0,0.7046733459997085
ch150,150,5,20270809,12.0,8.0,6528,6669,2.1599264705882355,14.000159750073786,0.0046666666666666705,0.7186977429996659
ch150,150,6,20270810,0.0,0.0,6528,6670,2.1752450980392157,15.999999999743997,0.0,0.7252933599997959
