instance,dimension,algorithm,run,seed,best_known,best_length,gap_percent,final_mean_length,runtime_seconds,budget_mode
d493,493,SA,2,20261521,35002,78998,125.6956745328838,131690.0,,standard
d493,493,SA,3,20261522,35002,74317,112.3221530198274,134718.0,,standard
d493,493,SA,4,20261523,35002,73905,111.1450774241472,129905.0,,standard
d493,493,SA,5,20261524,35002,74699,113.4135192274727,130160.0,,standard
d493,493,SA,6,20261525,35002,74402,112.5649962859265,140910.0,,standard
d493,493,SA,7,20261526,35002,74859,113.8706359636592,124129.0,,standard
d493,493,SA,8,20261527,35002,79006,125.7185303696932,140799.0,,standard
d493,493,SA,9,20261528,35002,79756,127.8612650705674,131255.0,,standard
d493,493,SA,10,20261529,35002,72892,108.2509570881664,132097.0,,standard
d493,493,SA,11,20261530,35002,72072,105.9082338152106,132941.0,,standard
d493,493,SA,12,20261531,35002,75529,115.7848122964402,127783.0,,standard
d493,493,SA,13,20261532,35002,75880,116.7876121364493,133685.0,,standard
d493,493,SA,14,20261533,35002,76412,118.3075252842695,133863.0,,standard
d493,493,SA,15,20261534,35002,75672,116.1933603794069,132584.0,,standard
d493,493,SA,16,20261535,35002,79050,125.8442374721444,132722.0,,standard
d493,493,SA,17,20261536,35002,77506,121.4330609679447,135340.0,,standard
d493,493,SA,18,20261537,35002,81781,133.6466487629278,138607.0,,standard
d493,493,SA,19,20261538,35002,73858,111.0107993828924,130579.0,,standard
d493,493,SA,20,20261539,35002,80851,130.9896577338438,133845.0,,standard
d493,493,SA,21,20261540,35002,80587,130.235415119136,131458.0,,standard
d493,493,SA,22,20261541,35002,80266,129.3183246671619,130421.0,,standard
d493,493,SA,23,20261542,35002,77784,122.2273012970687,132807.0,,standard
d493,493,SA,24,20261543,35002,78410,124.0157705273984,137557.0,,standard
d493,493,SA,25,20261544,35002,72111,106.019656019656,125383.0,,standard
d493,493,SA,26,20261545,35002,71474,104.1997600137135,132046.0,,standard
d493,493,SA,27,20261546,35002,75484,115.6562482143877,131495.0,,standard
d493,493,SA,28,20261547,35002,73964,111.313639220616,134341.0,,standard
d493,493,SA,29,20261548,35002,79832,128.078395520256,129444.0,,standard
d493,493,SA,30,20261549,35002,78894,125.3985486543626,135516.0,,standard
d493,493,GA,1,20262520,35002,68413,95.45454545454544,68848.0,,standard
d493,493,GA,2,20262521,35002,67029,91.5004856865322,67596.0,,standard
d493,493,GA,3,20262522,35002,69083,97.36872178732644,69985.125,,standard
d493,493,GA,4,20262523,35002,69833,99.51145648820068,70611.85,,standard
d493,493,GA,5,20262524,35002,70071,100.1914176332781,71001.65,,standard
d493,493,GA,6,20262525,35002,67903,93.99748585795098,68710.125,,standard
d493,493,GA,7,20262526,35002,69794,99.40003428375522,70733.525,,standard
d493,493,GA,8,20262527,35002,71327,103.7797840123422,72101.3,,standard
d493,493,GA,9,20262528,35002,68044,94.40031998171531,68470.075,,standard
d493,493,GA,10,20262529,35002,65754,87.857836695046,66269.65,,standard
d493,493,GA,11,20262530,35002,71455,104.1454774012914,72179.225,,standard
d493,493,GA,12,20262531,35002,68642,96.1087937832124,70436.725,,standard
d493,493,GA,13,20262532,35002,69397,98.26581338209245,70701.1,,standard
d493,493,GA,14,20262533,35002,69563,98.74007199588596,70876.45,,standard
d493,493,GA,15,20262534,35002,65760,87.87497857265299,67810.225,,standard
d493,493,GA,16,20262535,35002,66294,89.40060567967545,66783.35,,standard
d493,493,GA,17,20262536,35002,70257,100.7228158390949,70774.125,,standard
d493,493,GA,18,20262537,35002,67421,92.62042169018912,69818.125,,standard
d493,493,GA,19,20262538,35002,68850,96.70304554025483,69539.35,,standard
d493,493,GA,20,20262539,35002,68986,97.09159476601336,70289.8,,standard
d493,493,GA,21,20262540,35002,69944,99.82858122393006,70389.75,,standard
d493,493,GA,22,20262541,35002,65641,87.53499800011429,67153.525,,standard
d493,493,GA,23,20262542,35002,67856,93.8632078166962,69145.05,,standard
d493,493,GA,24,20262543,35002,68141,94.6774470030284,69224.425,,standard
d493,493,GA,25,20262544,35002,68062,94.4517456145363,68733.925,,standard
d493,493,GA,26,20262545,35002,67736,93.5203702645563,68336.2,,standard
d493,493,GA,27,20262546,35002,68637,96.09450888520657,70465.95,,standard
d493,493,GA,28,20262547,35002,67789,93.6717901834181,68750.525,,standard
d493,493,GA,29,20262548,35002,70735,102.0884520884521,72002.275,,standard
d493,493,GA,30,20262549,35002,64767,85.03799782869551,65446.425,,standard
d493,493,ACO,1,20263520,35002,38710,10.59368036112222,40932.26666666667,,standard
d493,493,ACO,2,20263521,35002,38639,10.39083480943946,42343.73333333333,,standard
d493,493,ACO,3,20263522,35002,38885,11.09365179132621,41820.03333333333,,standard
d493,493,ACO,4,20263523,35002,38553,10.14513456373921,40534.36666666667,,standard
d493,493,ACO,5,20263524,35002,39343,12.40214844866008,41433.23333333333,,standard
d493,493,ACO,6,20263525,35002,38751,10.71081652477001,40848.0,,standard
d493,493,ACO,7,20263526,35002,38673,10.48797211587909,41538.43333333333,,standard
d493,493,ACO,8,20263527,35002,39832,13.79921147363008,43257.1,,standard
d493,493,ACO,9,20263528,35002,39694,13.40494828866922,41736.2,,standard
d493,493,ACO,10,20263529,35002,39684,13.37637849265756,43148.7,,standard
d493,493,ACO,11,20263530,35002,38077,8.785212273584367,41279.7,,standard
d493,493,ACO,12,20263531,35002,38843,10.97365864807725,41971.33333333334,,standard
d493,493,ACO,13,20263532,35002,39207,12.01359922290155,41856.73333333333,,standard
d493,493,ACO,14,20263533,35002,39345,12.40786240786241,41956.3,,standard
d493,493,ACO,15,20263534,35002,39287,12.2421575909948,41240.86666666667,,standard
d493,493,ACO,16,20263535,35002,37436,6.953888349237187,39477.8,,standard
d493,493,ACO,17,20263536,35002,39538,12.95925947088738,43681.33333333334,,standard
d493,493,ACO,18,20263537,35002,38772,10.77081309639449,40894.6,,standard
d493,493,ACO,19,20263538,35002,39085,11.66504771155934,41358.86666666667,,standard
d493,493,ACO,20,20263539,35002,39270,12.19358893777498,40947.46666666667,,standard
d493,493,ACO,21,20263540,35002,40243,14.97343008970916,44442.83333333334,,standard
d493,493,ACO,22,20263541,35002,39269,12.19073195817382,44034.06666666667,,standard
d493,493,ACO,23,20263542,35002,39430,12.65070567396149,41367.96666666667,,standard
d493,493,ACO,24,20263543,35002,38880,11.07936689332038,41619.46666666667,,standard
d493,493,ACO,25,20263544,35002,39447,12.6992743271813,40866.96666666667,,standard
d493,493,ACO,26,20263545,35002,39030,11.50791383349523,41139.6,,standard
d493,493,ACO,27,20263546,35002,38246,9.268041826181362,42097.76666666667,,standard
d493,493,ACO,28,20263547,35002,38346,9.553739786297928,41434.93333333333,,standard
d493,493,ACO,29,20263548,35002,38922,11.19936003656934,42111.83333333334,,standard
d493,493,ACO,30,20263549,35002,39450,12.7078452659848,43714.66666666666,,standard
d493,493,ABC/BCO,1,20264520,35002,51677,47.64013484943717,215254.8,,standard
d493,493,ABC/BCO,2,20264521,35002,52574,50.20284555168276,216363.8666666667,,standard
d493,493,ABC/BCO,3,20264522,35002,53667,53.32552425575681,214036.2,,standard
d493,493,ABC/BCO,4,20264523,35002,51887,48.24010056568196,216248.1,,standard
d493,493,ABC/BCO,5,20264524,35002,51493,47.11445060282269,216478.8333333333,,standard
d493,493,ABC/BCO,6,20264525,35002,52189,49.10290840523399,217534.4333333333,,standard
d493,493,ABC/BCO,7,20264526,35002,52205,49.14862007885264,215928.3666666667,,standard
d493,493,ABC/BCO,8,20264527,35002,52456,49.86572195874521,214400.8333333333,,standard
d493,493,ABC/BCO,9,20264528,35002,51693,47.68584652305582,216824.9666666667,,standard
d493,493,ABC/BCO,10,20264529,35002,52994,51.40277698417233,217274.1666666666,,standard
d493,493,ABC/BCO,11,20264530,35002,52431,49.79429746871608,216224.9,,standard
d493,493,ABC/BCO,12,20264531,35002,51077,45.92594708873779,217241.1666666666,,standard
